session_id,num_docs,avg_edit_distance,total_edit_distance,quality_improvements,judge_score
a25fbcc24e0a4fea868fd44852208b24,10,11.4,114,6,10.0
a4d78cedf9ca4fe8b61885fa0759c39f,10,9.5,95,8,10.0
a61c1c28e8ad4260abbaabc5d4c6370d,10,14.7,147,8,10.0
a73e2f89904a435ea794f183de998370,10,12.9,129,9,10.0
ae282899905d44f395388117ce456dc0,10,16.6,166,5,10.0
af209108bd6f44978aad69bf0e3fa546,10,13.8,138,9,9.667
b13f8734bbe642c9863322135cd7cd65,10,38.9,389,10,9.667
b16e115cefad4b3c814fbc637b8565e6,10,48.0,480,10,10.0
b293c0b362964e4baff80bbb948b4393,10,6.5,65,1,10.0
b3c70d27f61e42e8900c86495bc6636c,10,17.6,176,3,10.0
b918e982dc4d4c61905ebd0b415535a5,10,6.2,62,6,10.0
ba672afa57f04cddaf07320707d9b21f,10,11.9,119,6,10.0
bd029b231dfb4560bac60c91d6587f75,10,12.5,125,7,10.0
bd98e3c1f59e440289af6cf8de8514be,10,14.6,146,9,10.0
be383690f0dc4df29c6ff086fdd1193d,10,17.0,170,8,10.0
bf3281a75e4343cd97d3d5c64c6cb6c3,10,3.9,39,0,10.0
c1703751f346430bb86e381f8a9400aa,10,6.0,60,6,10.0
c459ee68cbfd40679cfd00e374a849a1,10,13.8,138,4,10.0
c557ea133c8e4fc6b3852c21f8da1510,10,10.1,101,6,10.0
c7dd721f7b114ab4a88a3a85c58e15cb,10,7.2,72,3,9.667
c9c7d2a9d21e45ba8cafd524bfaf1de2,10,24.7,247,8,10.0
ca3d50e097d34efc80a8a96afcb42d1e,10,15.3,153,6,10.0
d9ec9c1f08094f99bf61b2cdd9bac9b7,10,3.8,38,6,10.0
e0d789cfeee44eb7ade0c5fb2bd4b781,10,8.9,89,5,10.0
e2654f9ef7294e07bf092d54e2813a6c,10,14.5,145,4,10.0
e57d8c09caa4414e859df62181980cb1,10,11.0,110,6,10.0
e8413d582ebe4eabbe506c41941b6836,10,4.2,42,3,10.0
ea565af9f33c409585734547d794b108,10,7.0,70,5,10.0
ec1499bad57d4b8a8449e4ed7c7ba7e1,10,12.0,120,9,10.0
ed19bd65d7e94dfd969aa5d140eab155,10,26.6,266,7,10.0
f22070003ae34450831a5bc51fa3414d,10,3.6,36,4,10.0
f9df35cfe64342528767a4fcaa3afb8f,10,39.6,396,6,9.333
fdb8129c4ab548f8835d2ec887b215d8,10,10.8,108,7,10.0
ffba002405bb49ffa9730d3a46668c8d,10,11.9,119,3,8.667
